market_uuid,trading_day,n_traders,avg_age,share_female,share_finance_course,share_trading_experience,share_high_education,avg_fin_quiz,sd_fin_quiz,avg_self_assessment,avg_overconfidence,sd_overconfidence,avg_cq_attempts,avg_wealth,sd_wealth,gini,avg_forecast,sd_forecast,share_feedback,share_speculator,share_fundamental,share_other,repetition,treatment,gamified,hedonic,price_notifications,n_trades_market,avg_trade_price,avg_mispricing,avg_abs_mispricing,closing_price,opening_price,max_price,min_price,fundamental_value,price_L1,price_L2,price_next,return,abs_mispricing_ratio,surge,crash,normalized_mispricing,bubble_period,bubble_start,cum_surge,cum_crash,cum_bubble_period
98308155-5ef4-4781-92b2-15de5ba68a70,1,6,23.333333333333332,0.5,0.5,0.8333333333333334,0.8333333333333334,0.7222222222222222,0.11385500851066217,6.166666666666667,-0.10555555555555557,0.25984325759680305,4.166666666666667,5100.0,96.68298712803606,0.009411764705882352,,,0.0,0.5,0.5,0.0,1,gp,0,0,1,6.0,64.66666666666667,-55.333333333333336,55.333333333333336,80.0,100.0,100.0,30.0,120,,,70.0,,0.46111111111111114,0,0,-0.4611111111111111,0,0,0,0,0
a05edde7-d925-45e5-bd12-37b4af942736,1,6,21.5,0.16666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.2721655269759087,5.5,-0.22777777777777777,0.29845280041251765,2.1666666666666665,5000.0,50.99019513592791,0.0047777777777777775,,,0.0,0.08333333333333333,0.5833333333333334,0.3333333333333333,1,gh,0,1,0,6.0,118.33333333333333,-1.6666666666666667,15.0,150.0,110.0,150.0,80.0,120,,,100.0,,0.125,0,0,-0.013888888888888928,0,0,0,0,0
98308155-5ef4-4781-92b2-15de5ba68a70,2,6,23.333333333333332,0.5,0.5,0.8333333333333334,0.8333333333333334,0.7222222222222222,0.11385500851066217,6.166666666666667,-0.10555555555555557,0.25984325759680305,4.166666666666667,5156.0,116.80444666193124,0.010456857167485557,,,0.0,0.5,0.5,0.0,1,gp,0,0,1,8.0,76.07875,-35.92125,35.92125,70.0,80.0,95.0,50.0,112,80.0,,85.0,-0.125,0.3207254464285714,0,0,-0.3207254464285714,0,0,0,0,0
a05edde7-d925-45e5-bd12-37b4af942736,2,6,21.5,0.16666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.2721655269759087,5.5,-0.22777777777777777,0.29845280041251765,2.1666666666666665,5037.333333333333,147.38747119978225,0.012661019940003529,,,0.0,0.08333333333333333,0.5833333333333334,0.3333333333333333,1,gh,0,1,0,6.0,116.5,4.5,9.166666666666666,100.0,110.0,130.0,100.0,112,150.0,,130.0,-0.33333333333333337,0.0818452380952381,0,0,0.04017857142857143,0,0,0,0,0
98308155-5ef4-4781-92b2-15de5ba68a70,3,6,23.333333333333332,0.5,0.5,0.8333333333333334,0.8333333333333334,0.7222222222222222,0.11385500851066217,6.166666666666667,-0.10555555555555557,0.25984325759680305,4.166666666666667,5069.333333333333,266.31071782161996,0.023374320533052776,40.0,46.66369038128039,0.0,0.5,0.5,0.0,1,gp,0,0,1,10.0,68.2,-35.8,35.8,85.0,70.0,87.0,50.0,104,70.0,80.0,88.0,0.2142857142857142,0.34423076923076923,0,0,-0.34423076923076923,0,0,0,0,0
a05edde7-d925-45e5-bd12-37b4af942736,3,6,21.5,0.16666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.2721655269759087,5.5,-0.22777777777777777,0.29845280041251765,2.1666666666666665,5020.0,152.30495724039977,0.01435369632580788,0.0,53.07227776030219,0.0,0.08333333333333333,0.5833333333333334,0.3333333333333333,1,gh,0,1,0,7.0,125.28571428571429,21.285714285714285,21.285714285714285,130.0,135.0,140.0,110.0,104,100.0,150.0,110.0,0.30000000000000004,0.20467032967032966,0,0,0.20467032967032972,0,0,0,0,0
98308155-5ef4-4781-92b2-15de5ba68a70,4,6,23.333333333333332,0.5,0.5,0.8333333333333334,0.8333333333333334,0.7222222222222222,0.11385500851066217,6.166666666666667,-0.10555555555555557,0.25984325759680305,4.166666666666667,5223.333333333333,344.6669606252775,0.025040310572218692,,,0.0,0.5,0.5,0.0,1,gp,0,0,1,22.0,68.45227272727273,-27.547727272727272,27.547727272727272,88.0,78.13,88.0,20.0,96,85.0,70.0,50.0,0.03529411764705892,0.2869554924242424,0,0,-0.2869554924242424,0,0,0,0,0
a05edde7-d925-45e5-bd12-37b4af942736,4,6,21.5,0.16666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.2721655269759087,5.5,-0.22777777777777777,0.29845280041251765,2.1666666666666665,5234.0,227.9255909282677,0.020703307434297116,,,0.0,0.08333333333333333,0.5833333333333334,0.3333333333333333,1,gh,0,1,0,9.0,130.36111111111111,34.361111111111114,34.361111111111114,110.0,140.0,145.0,110.0,96,130.0,100.0,115.0,-0.15384615384615385,0.35792824074074076,0,0,0.35792824074074076,0,0,0,0,0
98308155-5ef4-4781-92b2-15de5ba68a70,5,6,23.333333333333332,0.5,0.5,0.8333333333333334,0.8333333333333334,0.7222222222222222,0.11385500851066217,6.166666666666667,-0.10555555555555557,0.25984325759680305,4.166666666666667,5508.0,594.0266272483074,0.042322783022674046,,,0.0,0.5,0.5,0.0,1,gp,0,0,1,14.0,62.96714285714285,-25.032857142857143,25.747142857142855,50.0,46.88,90.0,34.0,88,88.0,85.0,78.0,-0.43181818181818177,0.2925811688311688,0,0,-0.2844642857142858,0,0,0,0,0
a05edde7-d925-45e5-bd12-37b4af942736,5,6,21.5,0.16666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.2721655269759087,5.5,-0.22777777777777777,0.29845280041251765,2.1666666666666665,5390.666666666667,297.30752877562094,0.028217495259295903,,,0.0,0.08333333333333333,0.5833333333333334,0.3333333333333333,1,gh,0,1,0,7.0,124.32142857142857,36.32142857142857,36.32142857142857,115.0,125.0,135.25,105.0,88,110.0,130.0,110.0,0.045454545454545414,0.4127435064935065,0,0,0.4127435064935065,0,0,0,0,0
